date,season,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2014-08-16,2014,Arsenal,Crystal Palace,2,1,2.002649641595781,0.1581510347314179
2014-08-16,2014,Leicester,Everton,2,2,1.29447122476995,0.6204000245779753
2014-08-16,2014,Manchester United,Swansea,1,2,1.2064071064814925,0.27807588689029217
2014-08-16,2014,Queens Park Rangers,Hull,0,1,1.9408459728583694,1.117571508511901
2014-08-16,2014,Stoke,Aston Villa,0,1,0.4237616565078497,0.9097742969170213
2014-08-16,2014,West Bromwich Albion,Sunderland,2,2,1.6834287559613585,0.991900535300374
2014-08-16,2014,West Ham,Tottenham,0,1,1.8530980991199613,1.0170563664287329
2014-08-17,2014,Liverpool,Southampton,2,1,1.3319211341440678,1.5925198253244162
2014-08-17,2014,Newcastle United,Manchester City,0,2,0.9655833039432764,1.5042065232992172
2014-08-18,2014,Burnley,Chelsea,1,3,0.37114059273153543,2.1299563366919756
2014-08-23,2014,Aston Villa,Newcastle United,0,0,0.5092886174097657,0.7099959552288055
2014-08-23,2014,Chelsea,Leicester,2,0,2.030758660286665,0.5508938189595938
2014-08-23,2014,Crystal Palace,West Ham,1,3,0.6177994385361671,1.3404493685811758
2014-08-23,2014,Everton,Arsenal,2,2,1.334293836262077,1.4335467694327235
2014-08-23,2014,Southampton,West Bromwich Albion,0,0,0.6658528167754412,0.6657912908121943
2014-08-23,2014,Swansea,Burnley,1,0,0.9144786708056927,0.8442197078838944
2014-08-24,2014,Hull,Stoke,1,1,0.8804575558751822,1.644533297047019
2014-08-24,2014,Sunderland,Manchester United,1,1,0.6664892910048366,0.941557178273797
2014-08-24,2014,Tottenham,Queens Park Rangers,4,0,2.388939715921879,1.0761685213074088
2014-08-25,2014,Manchester City,Liverpool,3,1,1.3137504439800978,0.9018889013677835
2014-08-30,2014,Burnley,Manchester United,0,0,0.5137460390105844,0.4672805182635784
2014-08-30,2014,Everton,Chelsea,3,6,1.4491019388660789,2.026648199185729
2014-08-30,2014,Manchester City,Stoke,0,1,0.8954926179721951,0.29979183804243803
2014-08-30,2014,Newcastle United,Crystal Palace,3,3,1.7248182129114866,1.7978193443268538
2014-08-30,2014,Queens Park Rangers,Sunderland,1,0,1.2727708900347352,0.964342761784792
2014-08-30,2014,Swansea,West Bromwich Albion,3,0,2.034342714585364,0.6974164680577815
2014-08-30,2014,West Ham,Southampton,1,3,0.652081836014986,1.5780021222308278
2014-08-31,2014,Aston Villa,Hull,2,1,0.6393159087747335,0.28887985087931156
2014-08-31,2014,Leicester,Arsenal,1,1,0.8097430560737848,2.5036505330353975
2014-08-31,2014,Tottenham,Liverpool,0,3,0.4859200147911906,2.7662813626229763
2014-09-13,2014,Arsenal,Manchester City,2,2,2.078040019609034,2.3083355873823166
2014-09-13,2014,Chelsea,Swansea,4,2,3.5919475499540567,1.021525351330638
2014-09-13,2014,Crystal Palace,Burnley,0,0,0.7805337551981211,1.249299630522728
2014-09-13,2014,Liverpool,Aston Villa,0,1,0.7303139697760344,0.7144225388765335
2014-09-13,2014,Southampton,Newcastle United,4,0,2.1173851620405912,1.1502643525600433
2014-09-13,2014,Stoke,Leicester,0,1,1.6478229551576078,0.598514050245285
2014-09-13,2014,Sunderland,Tottenham,2,2,0.33896609023213387,2.054420355707407
2014-09-13,2014,West Bromwich Albion,Everton,0,2,0.6020589200779796,0.8246796475723386
2014-09-14,2014,Manchester United,Queens Park Rangers,4,0,2.2219138452783227,0.5635236343368888
2014-09-15,2014,Hull,West Ham,2,2,0.43908385187387466,0.6616783738136292
2014-09-20,2014,Aston Villa,Arsenal,0,3,0.6490128831937909,1.3622420355677605
2014-09-20,2014,Burnley,Sunderland,0,0,0.7106733182445168,0.6435120664536953
2014-09-20,2014,Newcastle United,Hull,2,2,1.9231166867539287,0.8669674759730697
2014-09-20,2014,Queens Park Rangers,Stoke,2,2,1.0564225697889924,1.4584695510566235
2014-09-20,2014,Swansea,Southampton,0,1,0.5202622078359127,0.7502440456300974
2014-09-20,2014,West Ham,Liverpool,3,1,1.2603239277377725,0.38007709197700024
2014-09-21,2014,Everton,Crystal Palace,2,3,2.6396445259451866,1.6288593709468842
2014-09-21,2014,Leicester,Manchester United,5,3,2.5421989616006613,1.7176852533593774
2014-09-21,2014,Manchester City,Chelsea,1,1,1.056862992234528,1.0209254175424576
2014-09-21,2014,Tottenham,West Bromwich Albion,0,1,0.43859611824154854,1.0840068608522415
2014-09-27,2014,Arsenal,Tottenham,1,1,1.283871104940772,0.6735351998358965
2014-09-27,2014,Chelsea,Aston Villa,3,0,3.31121308170259,0.2288962760940194
2014-09-27,2014,Crystal Palace,Leicester,2,0,2.1606457699090242,0.4582917485386133
2014-09-27,2014,Hull,Manchester City,2,4,1.1283932570368052,1.7978816572576761
2014-09-27,2014,Liverpool,Everton,1,1,1.531446909531951,0.4758847653865814
2014-09-27,2014,Manchester United,West Ham,2,1,0.5202458817511797,1.2788452040404081
2014-09-27,2014,Southampton,Queens Park Rangers,2,1,2.3755971174687147,0.4576659584417939
2014-09-27,2014,Sunderland,Swansea,0,0,1.396891905926168,0.1563980858772993
2014-09-28,2014,West Bromwich Albion,Burnley,4,0,1.815023017115891,0.4738135803490877
2014-09-29,2014,Stoke,Newcastle United,1,0,1.5630197850987315,1.139941860921681
2014-10-04,2014,Aston Villa,Manchester City,0,2,0.6902829352766275,2.3087670980021358
2014-10-04,2014,Hull,Crystal Palace,2,0,1.0729513112455606,0.6185385659337044
2014-10-04,2014,Leicester,Burnley,2,2,1.5890434989705682,0.9577179299667478
2014-10-04,2014,Liverpool,West Bromwich Albion,2,1,1.5749513991177082,1.4383971597999334
2014-10-04,2014,Sunderland,Stoke,3,1,1.4055085610598326,0.482028485275805
2014-10-04,2014,Swansea,Newcastle United,2,2,1.5524176955223083,1.2158129923045635
2014-10-05,2014,Chelsea,Arsenal,2,0,1.4026261493563652,0.33069881331175566
2014-10-05,2014,Manchester United,Everton,2,1,1.6311653424054384,2.149619694799185
2014-10-05,2014,Tottenham,Southampton,1,0,0.8987347483634949,1.14586665853858
2014-10-05,2014,West Ham,Queens Park Rangers,2,0,1.7275795247405767,0.6973416917026043
2014-10-18,2014,Arsenal,Hull,2,2,2.1931224782019854,0.5520615670830011
2014-10-18,2014,Burnley,West Ham,1,3,1.7440360970795155,2.857346922159195
2014-10-18,2014,Crystal Palace,Chelsea,1,2,1.1677873437292874,1.015145300887525
2014-10-18,2014,Everton,Aston Villa,3,0,1.6718138623982668,0.3747344771400094
2014-10-18,2014,Manchester City,Tottenham,4,1,4.123393278568983,2.327521556057036
2014-10-18,2014,Newcastle United,Leicester,1,0,2.1929045282304287,0.6547326724976301
2014-10-18,2014,Southampton,Sunderland,8,0,3.711983027867973,0.9276179866865277
2014-10-19,2014,Queens Park Rangers,Liverpool,2,3,2.7219152441248298,1.711624606512487
2014-10-19,2014,Stoke,Swansea,2,1,1.7584079769439995,2.6035634204745293
2014-10-20,2014,West Bromwich Albion,Manchester United,2,2,0.6166202556341887,0.9368802579119802
2014-10-25,2014,Liverpool,Hull,0,0,0.6791488453745842,0.22299911733716726
2014-10-25,2014,Southampton,Stoke,1,0,1.3920592404901981,0.8675680067390203
2014-10-25,2014,Sunderland,Arsenal,0,2,0.4414905020967126,1.4708135211840272
2014-10-25,2014,Swansea,Leicester,2,0,1.0560071878135204,0.8152756951749325
2014-10-25,2014,West Bromwich Albion,Crystal Palace,2,2,1.461724353954196,1.8763478826731443
2014-10-25,2014,West Ham,Manchester City,2,1,2.626312592998147,2.152740500867367
2014-10-26,2014,Burnley,Everton,1,3,1.556668734177947,1.3290470065549016
2014-10-26,2014,Manchester United,Chelsea,1,1,1.9319579089060426,0.9899160414934158
2014-10-26,2014,Tottenham,Newcastle United,1,2,2.0372855430468917,0.7396700610406697
2014-10-27,2014,Queens Park Rangers,Aston Villa,2,0,0.8170033730566502,1.1951143983751535
2014-11-01,2014,Arsenal,Burnley,3,0,4.404033507220447,0.6842587133869529
2014-11-01,2014,Chelsea,Queens Park Rangers,2,1,2.237027042545378,0.5198441315442324
2014-11-01,2014,Everton,Swansea,0,0,1.147792941890657,0.6944185923784971
2014-11-01,2014,Hull,Southampton,0,1,0.25667842850089073,1.968793636187911
2014-11-01,2014,Leicester,West Bromwich Albion,0,1,1.4100147634744644,0.5624421406537294
2014-11-01,2014,Newcastle United,Liverpool,1,0,1.5686254044994712,0.2589525580406189
2014-11-01,2014,Stoke,West Ham,2,2,3.2879056874662638,0.528667775914073
2014-11-02,2014,Aston Villa,Tottenham,1,2,0.8722674455493689,2.541727333329618
2014-11-02,2014,Manchester City,Manchester United,1,0,2.567226717248559,0.7279236558824778
2014-11-03,2014,Crystal Palace,Sunderland,1,3,0.7660232912749052,0.7279808912426233
2014-11-08,2014,Burnley,Hull,1,0,1.1074551013298333,0.5266559049487114
2014-11-08,2014,Liverpool,Chelsea,1,2,0.5359599431976676,2.1695309560745955
2014-11-08,2014,Manchester United,Crystal Palace,1,0,0.9830088261514902,0.4008371625095606
2014-11-08,2014,Queens Park Rangers,Manchester City,2,2,1.879266750998795,1.7064266540110111
2014-11-08,2014,Southampton,Leicester,2,0,1.0052788062021136,0.5404341048561037
2014-11-08,2014,West Ham,Aston Villa,0,0,1.4787264354526997,0.5667903795838356
2014-11-09,2014,Sunderland,Everton,1,1,0.5083259930834174,1.3189825722947717
2014-11-09,2014,Swansea,Arsenal,2,1,0.5204866575077176,1.7769851302728057
2014-11-09,2014,Tottenham,Stoke,1,2,1.2838420001789927,1.2486659716814756
2014-11-09,2014,West Bromwich Albion,Newcastle United,0,2,0.7652080217376351,0.6944406349211931
2014-11-22,2014,Arsenal,Manchester United,1,2,2.0019325371831656,1.279098967090249
2014-11-22,2014,Chelsea,West Bromwich Albion,2,0,4.388982271775603,0.093047134578228
2014-11-22,2014,Everton,West Ham,2,1,1.8456041533499956,1.1422243155539036
2014-11-22,2014,Leicester,Sunderland,0,0,0.685892989858985,0.8899711761623621
2014-11-22,2014,Manchester City,Swansea,2,1,2.2657424565404654,0.9594168998301029
2014-11-22,2014,Newcastle United,Queens Park Rangers,1,0,1.478705933317542,0.40228502359241247
2014-11-22,2014,Stoke,Burnley,1,2,1.9467132869176567,1.2753208577632904
2014-11-23,2014,Crystal Palace,Liverpool,3,1,1.4833084400743246,0.9529584255069494
2014-11-23,2014,Hull,Tottenham,1,2,0.9614478815346956,2.1954348739236593
2014-11-24,2014,Aston Villa,Southampton,1,1,1.1322841299697757,0.8644831087440252
2014-11-29,2014,Burnley,Aston Villa,1,1,2.3057964369654655,1.0873006600886583
2014-11-29,2014,Liverpool,Stoke,1,0,1.8135725716128945,0.892956456169486
2014-11-29,2014,Manchester United,Hull,3,0,2.208007849752903,0.2304066326469183
2014-11-29,2014,Queens Park Rangers,Leicester,3,2,3.5791200269013643,2.1026682695373893
2014-11-29,2014,Sunderland,Chelsea,0,0,1.0467318436130881,0.7629201002418995
2014-11-29,2014,Swansea,Crystal Palace,1,1,1.4626048086211085,1.5095642562955618
2014-11-29,2014,West Bromwich Albion,Arsenal,0,1,0.3152600433677435,1.056031683459878
2014-11-29,2014,West Ham,Newcastle United,1,0,1.0998080857098103,0.24656249210238457
2014-11-30,2014,Southampton,Manchester City,0,3,0.8174950489774346,2.1321376403793693
2014-11-30,2014,Tottenham,Everton,2,1,1.1543195312842727,0.9343351731076837
2014-12-02,2014,Burnley,Newcastle United,1,1,0.6826171800494194,1.000597088597715
2014-12-02,2014,Crystal Palace,Aston Villa,0,1,0.8017410673201084,0.19243877194821835
2014-12-02,2014,Leicester,Liverpool,1,3,1.2554383585229516,1.3015198344364762
2014-12-02,2014,Manchester United,Stoke,2,1,1.9356475472450256,1.6626143492758274
2014-12-02,2014,Swansea,Queens Park Rangers,2,0,1.5420649792067707,0.7895187437534332
2014-12-02,2014,West Bromwich Albion,West Ham,1,2,1.4146587271243334,1.3085687346756458
2014-12-03,2014,Arsenal,Southampton,1,0,2.389291513711214,0.5709547866135836
2014-12-03,2014,Chelsea,Tottenham,3,0,1.7194742523133755,0.2892037983983755
2014-12-03,2014,Everton,Hull,1,1,1.282304722815752,0.29546999372541904
2014-12-03,2014,Sunderland,Manchester City,1,4,0.41708818916231394,1.0385956410318613
2014-12-06,2014,Hull,West Bromwich Albion,0,0,0.588459899649024,1.0615120436996222
2014-12-06,2014,Liverpool,Sunderland,0,0,0.6662164814770222,0.2683946918696165
2014-12-06,2014,Manchester City,Everton,1,0,2.2486950801685452,0.38584512658417225
